iter	Logloss
0	0.6364197299
1	0.5839218792
2	0.5375206581
3	0.5176179804
4	0.4891505576
5	0.4685389331
6	0.4395403479
7	0.407442194
8	0.3814382439
9	0.3573658479
10	0.3400329851
11	0.3240759173
12	0.3129702315
13	0.3000683907
14	0.2853580312
15	0.2715209961
16	0.2582438934
17	0.2452083751
18	0.2375202668
19	0.2326908992
20	0.2248353616
21	0.2167822944
22	0.2107899071
23	0.2034119435
24	0.1974976629
25	0.1903413952
26	0.18516564
27	0.1786394951
28	0.175181071
29	0.1710745526
30	0.1661844628
31	0.1620331854
32	0.1568762233
33	0.1528661223
34	0.1493453588
35	0.1452648456
36	0.1435795841
37	0.141360291
38	0.1382148025
39	0.1351250412
40	0.131641551
41	0.127949237
42	0.126545285
43	0.1247330886
44	0.1219709087
45	0.1187107706
46	0.1160081391
47	0.1133053902
48	0.1112131494
49	0.1087859781
50	0.1060200357
51	0.1043873714
52	0.1021842826
53	0.1004222642
54	0.09837868845
55	0.09671804314
56	0.09461443648
57	0.0938962105
58	0.09147747072
59	0.09039161878
60	0.0888908321
61	0.086857142
62	0.08510651548
63	0.08322478726
64	0.08087405995
65	0.07924147386
66	0.07827495347
67	0.07741965269
68	0.07650618594
69	0.07444740361
70	0.07311996069
71	0.07231381408
72	0.07160260453
73	0.0710555639
74	0.06952455961
75	0.06846580831
76	0.06781159099
77	0.06685510619
78	0.06599608853
79	0.06542083219
80	0.06404220711
81	0.06305579161
82	0.06219254192
83	0.06117489155
84	0.0604905479
85	0.05970830673
86	0.0589835925
87	0.05823692909
88	0.05739146828
89	0.05702197735
90	0.055842173
91	0.05510285206
92	0.0545268393
93	0.05354412111
94	0.05316934178
95	0.05253156026
96	0.05166168213
97	0.05085776565
98	0.05016493186
99	0.04969801944
100	0.04872522273
101	0.04785329705
102	0.04705660567
103	0.04663690746
104	0.04618757199
105	0.04561388717
106	0.04528952705
107	0.04486855401
108	0.04452557686
109	0.0442332602
110	0.0434503865
111	0.04272365407
112	0.04220178066
113	0.04183159527
114	0.04129135262
115	0.04089869964
116	0.04021662525
117	0.0396713322
118	0.03934803498
119	0.03904385689
120	0.03874485635
121	0.03797427446
122	0.03765263354
123	0.03718087938
124	0.0368324182
125	0.03630000383
126	0.03604840662
127	0.03565373217
128	0.03538133018
129	0.03488597381
130	0.03441076034
131	0.03402301756
132	0.03374514458
133	0.03340384328
134	0.03297753619
135	0.03247732179
136	0.03221564986
137	0.03152379745
138	0.03131128947
139	0.03098745754
140	0.03077343998
141	0.03023452759
142	0.0299740718
143	0.02976188008
144	0.0294522636
145	0.02910243955
146	0.02864027757
147	0.02837329767
148	0.02809141436
149	0.02758821667
150	0.02738509871
151	0.02698062505
152	0.02669541449
153	0.02645262368
154	0.02635360457
155	0.02610405164
156	0.02591249189
157	0.02580767085
158	0.02553847223
159	0.02527414306
160	0.02508068248
161	0.02483588814
162	0.02466370509
163	0.0243603307
164	0.02402683812
165	0.02349621699
166	0.02320058122
167	0.02303212158
168	0.02265731616
169	0.02246730511
170	0.02230763558
171	0.02215092814
172	0.02190673698
173	0.0216936682
174	0.02152260511
175	0.02132242806
176	0.02117693974
177	0.0209797362
178	0.02079465491
179	0.02067548638
180	0.02053327968
181	0.02030132
182	0.02022084619
183	0.02012485439
184	0.01987825377
185	0.0196966807
186	0.01949255202
187	0.01937314058
188	0.01931920989
189	0.01915993976
190	0.01895086826
191	0.01886619177
192	0.01865389245
193	0.01839867779
194	0.01822289524
195	0.01805584084
196	0.01788540049
197	0.01775587196
198	0.01763420757
199	0.01742092035
200	0.01733489403
201	0.01714360164
202	0.01688637204
203	0.01667129484
204	0.01658889738
205	0.01644476051
206	0.01632485349
207	0.0162845579
208	0.01612506769
209	0.0159440065
210	0.01588089935
211	0.01584878742
212	0.01580711104
213	0.0156748519
214	0.01563038296
215	0.01552242051
216	0.0152912955
217	0.01511488205
218	0.01495155758
219	0.01477692433
220	0.01461906107
221	0.01457236363
222	0.01441464546
223	0.01430024856
224	0.01413423913
225	0.01407189818
226	0.01398842966
227	0.01385786921
228	0.01377630804
229	0.01363953729
230	0.01358443203
231	0.01348386015
232	0.01337107308
233	0.01329904458
234	0.0132213185
235	0.01314873655
236	0.01296210656
237	0.01281861199
238	0.01268687126
239	0.01259703188
240	0.01239802206
241	0.01235652011
242	0.01224090951
243	0.0121689234
244	0.01205512479
245	0.01197685013
246	0.01187386798
247	0.01178591149
248	0.01173278205
249	0.01167493478
250	0.01164637346
251	0.0115876532
252	0.01155562116
253	0.01147688352
254	0.01142311341
255	0.01138279744
256	0.01128714961
257	0.01117490459
258	0.01113638022
259	0.01103782165
260	0.01097670335
261	0.01091019068
262	0.01082835727
263	0.0107718215
264	0.01074043828
265	0.01063033862
266	0.01052501548
267	0.01048119211
268	0.01044656884
269	0.01039901799
270	0.01036320548
271	0.01024056215
272	0.01019077627
273	0.01010444511
274	0.01006134229
275	0.00999779905
276	0.00995426341
277	0.009892799508
278	0.00986704052
279	0.009834953047
280	0.009751981752
281	0.009694110023
282	0.009613412058
283	0.009541057521
284	0.009513092041
285	0.009406349802
286	0.009311737158
287	0.009211651892
288	0.00917861156
289	0.009081370199
290	0.008987703894
291	0.008942750784
292	0.008860644316
293	0.008834606562
294	0.008794437311
295	0.008776774773
296	0.008736675621
297	0.008711999094
298	0.008619826879
299	0.008539644877
300	0.008490040771
301	0.008433797624
302	0.008385309399
303	0.00835578299
304	0.008295282543
305	0.008230515831
306	0.008172260187
307	0.008113857824
308	0.008080929976
309	0.008052153465
310	0.007967238141
311	0.007951853825
312	0.007925814441
313	0.007858209528
314	0.007843452845
315	0.007771968026
316	0.007727471376
317	0.007652262337
318	0.007605423071
319	0.007588799795
320	0.007518897097
321	0.007478350452
322	0.007436445024
323	0.007374481462
324	0.007350636344
325	0.007288001134
326	0.007246917333
327	0.007216543214
328	0.00719549554
329	0.007179511307
330	0.007141552624
331	0.007060921498
332	0.007038096893
333	0.007037894746
334	0.006975778759
335	0.006916385227
336	0.00688158019
337	0.006830973503
338	0.006830973503
339	0.00678217839
