iter	Passed	Remaining
431	2479	390
432	2485	384
433	2490	378
434	2495	372
435	2501	367
436	2506	361
437	2510	355
438	2516	349
439	2521	343
440	2526	337
441	2530	332
442	2536	326
443	2541	320
444	2545	314
445	2551	308
446	2556	303
447	2561	297
448	2567	291
449	2571	285
450	2576	279
451	2582	274
452	2587	268
453	2591	262
454	2597	256
455	2602	251
456	2607	245
457	2612	239
458	2617	233
459	2622	228
460	2627	222
461	2633	216
462	2638	210
463	2643	205
464	2648	199
465	2653	193
466	2658	187
467	2664	182
468	2668	176
469	2673	170
470	2678	164
471	2683	159
472	2688	153
473	2693	147
474	2698	142
475	2703	136
476	2707	130
477	2713	124
478	2717	119
479	2722	113
480	2727	107
481	2733	102
482	2737	96
483	2742	90
484	2748	84
485	2752	79
486	2757	73
487	2763	67
488	2768	62
489	2772	56
490	2777	50
491	2782	45
492	2787	39
493	2791	33
494	2797	28
495	2802	22
496	2807	16
497	2812	11
498	2817	5
499	2822	0
