model_name,f1_score,recall,precision,accuracy,roc_auc,best_cv_score,training_time,best_params
XGBoost,0.8977813148640074,0.3333333333333333,0.4,0.9018691588785047,0.8015873015873016,0.945481086266913,7.059407711029053,"{'subsample': 1.0, 'scale_pos_weight': 1, 'n_estimators': 500, 'max_depth': 7, 'learning_rate': 0.05, 'colsample_bytree': 1.0}"
CatBoost,0.8945733337687161,0.2777777777777778,0.38461538461538464,0.9018691588785047,0.7482993197278911,0.9493163177290411,146.62519240379333,"{'scale_pos_weight': 1, 'learning_rate': 0.2, 'l2_leaf_reg': 1, 'iterations': 200, 'depth': 4}"
LightGBM,0.8845326988895462,0.2222222222222222,0.3076923076923077,0.8925233644859814,0.7610544217687075,0.9544537556173671,27.58466625213623,"{'scale_pos_weight': 3, 'num_leaves': 127, 'n_estimators': 500, 'min_child_samples': 5, 'max_depth': 5, 'learning_rate': 0.1}"
GradientBoosting,0.8845326988895462,0.2222222222222222,0.3076923076923077,0.8925233644859814,0.7446145124716553,0.9538216670963517,31.549264192581177,"{'subsample': 0.9, 'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_depth': 7, 'learning_rate': 0.2}"
RandomForest,0.8785046728971962,0.2777777777777778,0.2777777777777778,0.8785046728971962,0.7840136054421769,0.9390650526810884,22.592463970184326,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 30, 'class_weight': {0: 1, 1: 5}}"
